transaction_id,date,time,hour,day_of_week,month,month_num,amount,category,merchant,sender_upi,receiver_upi,status,is_anomaly,payment_mode
GP0000016,2024-10-20,12:24:01,12,Sunday,October,10,2518.23,Utilities,Broadband,user2796@okicici,broadband@okaxis,Success,False,GPay UPI
GP0000017,2024-05-29,10:17:28,10,Wednesday,May,5,3022.4,Utilities,DTH Recharge,user8668@okicici,dth.recharge@okaxis,Success,False,GPay UPI
GP0000018,2024-02-14,11:41:58,11,Wednesday,February,2,34174.03,Bank Transfer,Personal Transfer,user9797@okicici,personal.transfer@okaxis,Success,False,GPay UPI
GP0000019,2024-03-02,10:08:13,10,Saturday,March,3,951.15,Groceries,BigBasket,user5315@okicici,bigbasket@okaxis,Success,False,GPay UPI
GP0000020,2024-12-04,01:49:16,1,Wednesday,December,12,4571.88,Utilities,Broadband,user9317@okicici,broadband@okaxis,Success,False,GPay UPI
GP0000021,2024-07-28,11:22:36,11,Sunday,July,7,3836.3,Utilities,Water Bill,user9689@okicici,water.bill@okaxis,Failed,False,GPay UPI
GP0000022,2024-02-13,10:40:57,10,Tuesday,February,2,497.83,Recharge,Vi,user6038@okicici,vi@okaxis,Failed,False,GPay UPI
GP0000023,2024-02-03,06:20:52,6,Saturday,February,2,758.62,Transport,IRCTC,user2133@okicici,irctc@okaxis,Success,False,GPay UPI
GP0000024,2024-07-03,13:57:10,13,Wednesday,July,7,6855.38,Bank Transfer,Family Transfer,user3705@okicici,family.transfer@okaxis,Failed,False,GPay UPI
GP0000025,2024-12-26,18:06:04,18,Thursday,December,12,964.08,Recharge,BSNL,user4295@okicici,bsnl@okaxis,Success,False,GPay UPI
GP0000026,2024-07-20,00:09:23,0,Saturday,July,7,904.3,Healthcare,1mg,user5061@okicici,1mg@okaxis,Success,False,GPay UPI
GP0000027,2024-03-30,08:49:29,8,Saturday,March,3,1806.1,Groceries,BigBasket,user1117@okicici,bigbasket@okaxis,Success,False,GPay UPI
GP0000028,2024-01-13,04:47:23,4,Saturday,January,1,147.73,Food & Dining,Swiggy,user2160@okicici,swiggy@okaxis,Success,False,GPay UPI
GP0000029,2024-07-28,10:01:28,10,Sunday,July,7,535.87,Entertainment,Amazon Prime,user8744@okicici,amazon.prime@okaxis,Success,False,GPay UPI
GP0000030,2024-02-07,15:27:38,15,Wednesday,February,2,2065.02,Education,Unacademy,user6804@okicici,unacademy@okaxis,Success,False,GPay UPI
GP0000031,2024-09-07,22:49:54,22,Saturday,September,9,6797.97,Education,Udemy,user7596@okicici,udemy@okaxis,Success,False,GPay UPI
GP0000032,2024-07-27,06:32:43,6,Saturday,July,7,3035.53,Shopping,Flipkart,user7912@okicici,flipkart@okaxis,Success,False,GPay UPI
GP0000033,2024-01-30,06:38:17,6,Tuesday,January,1,8768.96,Education,Coursera,user2604@okicici,coursera@okaxis,Success,False,GPay UPI
GP0000034,2024-12-25,18:21:57,18,Wednesday,December,12,48465.31,Bank Transfer,Personal Transfer,user4872@okicici,personal.transfer@okaxis,Success,False,GPay UPI
GP0000035,2024-06-04,17:57:59,17,Tuesday,June,6,2293.72,Education,Unacademy,user3697@okicici,unacademy@okaxis,Failed,False,GPay UPI
GP0000036,2024-10-31,21:56:09,21,Thursday,October,10,1856.71,Healthcare,1mg,user7930@okicici,1mg@okaxis,Success,False,GPay UPI
GP0000037,2024-04-25,05:31:02,5,Thursday,April,4,8162.44,Bank Transfer,EMI Payment,user1958@okicici,emi.payment@okaxis,Success,False,GPay UPI
GP0000038,2024-01-23,04:49:08,4,Tuesday,January,1,37524.79,Bank Transfer,Personal Transfer,user8811@okicici,personal.transfer@okaxis,Success,False,GPay UPI
GP0000039,2024-07-16,05:18:16,5,Tuesday,July,7,3315.54,Bank Transfer,Family Transfer,user4044@okicici,family.transfer@okaxis,Success,False,GPay UPI
GP0000040,2024-06-05,19:27:39,19,Wednesday,June,6,12954.92,Shopping,Nykaa,user5033@okicici,nykaa@okaxis,Success,False,GPay UPI
GP0000041,2024-09-12,07:09:43,7,Thursday,September,9,168.88,Food & Dining,Starbucks,user9565@okicici,starbucks@okaxis,Success,False,GPay UPI
GP0000042,2024-05-02,00:24:21,0,Thursday,May,5,701.75,Entertainment,Hotstar,user7484@okicici,hotstar@okaxis,Success,False,GPay UPI
GP0000043,2024-10-18,23:53:05,23,Friday,October,10,383.56,Entertainment,BookMyShow,user1152@okicici,bookmyshow@okaxis,Failed,False,GPay UPI
GP0000044,2024-03-23,18:44:31,18,Saturday,March,3,90.8,Recharge,Airtel,user3170@okicici,airtel@okaxis,Success,False,GPay UPI
GP0000045,2024-03-02,06:18:25,6,Saturday,March,3,5669.0,Shopping,Flipkart,user9900@okicici,flipkart@okaxis,Success,False,GPay UPI
GP0000046,2024-08-03,09:16:04,9,Saturday,August,8,673.51,Recharge,Airtel,user2697@okicici,airtel@okaxis,Success,False,GPay UPI
GP0000047,2024-02-11,13:38:51,13,Sunday,February,2,665.6,Utilities,Water Bill,user3546@okicici,water.bill@okaxis,Success,False,GPay UPI
GP0000048,2024-03-20,01:39:52,1,Wednesday,March,3,722.26,Recharge,Jio,user5325@okicici,jio@okaxis,Success,False,GPay UPI
GP0000049,2024-06-13,12:00:44,12,Thursday,June,6,3016.32,Entertainment,Netflix,user1722@okicici,netflix@okaxis,Success,True,GPay UPI
GP0000050,2024-08-02,06:02:03,6,Friday,August,8,766.11,Entertainment,Hotstar,user1158@okicici,hotstar@okaxis,Success,False,GPay UPI
GP0000051,2024-05-23,09:20:32,9,Thursday,May,5,276.54,Utilities,Broadband,user3426@okicici,broadband@okaxis,Success,False,GPay UPI
GP0000052,2024-12-28,09:00:38,9,Saturday,December,12,578.74,Food & Dining,McDonald's,user1653@okicici,mcdonald's@okaxis,Success,False,GPay UPI
GP0000053,2024-02-09,22:06:21,22,Friday,February,2,214.63,Transport,RedBus,user7658@okicici,redbus@okaxis,Success,False,GPay UPI
GP0000054,2024-11-06,15:29:14,15,Wednesday,November,11,69595.3,Utilities,Gas Agency,user7755@okicici,gas.agency@okaxis,Success,True,GPay UPI
GP0000055,2024-12-01,13:39:37,13,Sunday,December,12,2426.48,Groceries,DMart,user5065@okicici,dmart@okaxis,Success,False,GPay UPI
GP0000056,2024-11-29,10:40:08,10,Friday,November,11,13108.07,Shopping,Meesho,user4269@okicici,meesho@okaxis,Success,False,GPay UPI
GP0000057,2024-11-04,21:09:26,21,Monday,November,11,25190.23,Education,BYJU'S,user4652@okicici,byju's@okaxis,Failed,True,GPay UPI
GP0000058,2024-10-27,07:55:36,7,Sunday,October,10,2606.62,Groceries,JioMart,user9346@okicici,jiomart@okaxis,Success,False,GPay UPI
GP0000059,2024-02-14,19:03:46,19,Wednesday,February,2,46992.24,Bank Transfer,Friend Transfer,user5279@okicici,friend.transfer@okaxis,Failed,False,GPay UPI
GP0000060,2024-06-17,18:25:40,18,Monday,June,6,196.56,Entertainment,Netflix,user6139@okicici,netflix@okaxis,Success,False,GPay UPI
GP0000061,2024-08-11,22:11:24,22,Sunday,August,8,19567.17,Bank Transfer,Personal Transfer,user1727@okicici,personal.transfer@okaxis,Success,False,GPay UPI
GP0000062,2024-07-28,02:44:10,2,Sunday,July,7,1392.08,Food & Dining,Starbucks,user4228@okicici,starbucks@okaxis,Success,False,GPay UPI
GP0000063,2024-08-30,00:13:45,0,Friday,August,8,13827.41,Shopping,Nykaa,user3041@okicici,nykaa@okaxis,Success,False,GPay UPI
GP0000064,2024-06-07,14:29:52,14,Friday,June,6,377.36,Entertainment,Zee5,user5844@okicici,zee5@okaxis,Success,False,GPay UPI
GP0000065,2024-05-27,05:53:24,5,Monday,May,5,538.64,Transport,Metro Card,user3851@okicici,metro.card@okaxis,Success,False,GPay UPI
GP0000066,2024-01-01,03:47:01,3,Monday,January,1,592.14,Entertainment,BookMyShow,user4443@okicici,bookmyshow@okaxis,Success,False,GPay UPI
GP0000067,2024-06-20,17:13:40,17,Thursday,June,6,474.69,Recharge,Vi,user9375@okicici,vi@okaxis,Success,False,GPay UPI
GP0000068,2024-09-14,19:33:58,19,Saturday,September,9,1490.55,Utilities,Electricity Board,user6491@okicici,electricity.board@okaxis,Success,False,GPay UPI
GP0000069,2024-11-09,05:42:39,5,Saturday,November,11,262.13,Transport,RedBus,user1400@okicici,redbus@okaxis,Success,False,GPay UPI
GP0000070,2024-01-29,06:48:29,6,Monday,January,1,8526.43,Education,Vedantu,user4185@okicici,vedantu@okaxis,Success,False,GPay UPI
GP0000071,2024-02-27,07:27:52,7,Tuesday,February,2,829.32,Healthcare,Practo,user1090@okicici,practo@okaxis,Success,False,GPay UPI
GP0000072,2024-11-08,06:50:49,6,Friday,November,11,3438.85,Shopping,Meesho,user9486@okicici,meesho@okaxis,Failed,False,GPay UPI
GP0000073,2024-02-17,03:08:38,3,Saturday,February,2,45914.77,Bank Transfer,Family Transfer,user8612@okicici,family.transfer@okaxis,Success,False,GPay UPI
GP0000074,2024-12-12,04:41:30,4,Thursday,December,12,47526.96,Bank Transfer,Friend Transfer,user9270@okicici,friend.transfer@okaxis,Success,False,GPay UPI
GP0000075,2024-10-15,19:22:15,19,Tuesday,October,10,44911.8,Bank Transfer,EMI Payment,user8373@okicici,emi.payment@okaxis,Success,False,GPay UPI
GP0000076,2024-10-29,00:27:17,0,Tuesday,October,10,236.3,Transport,RedBus,user4919@okicici,redbus@okaxis,Success,False,GPay UPI
GP0000077,2024-04-15,12:34:06,12,Monday,April,4,4428.78,Shopping,Nykaa,user9849@okicici,nykaa@okaxis,Success,False,GPay UPI
GP0000078,2024-02-29,08:14:53,8,Thursday,February,2,1976.87,Utilities,Gas Agency,user2052@okicici,gas.agency@okaxis,Success,False,GPay UPI
GP0000079,2024-01-25,04:21:30,4,Thursday,January,1,1451.18,Groceries,Zepto,user7883@okicici,zepto@okaxis,Success,False,GPay UPI
GP0000080,2024-10-24,07:51:31,7,Thursday,October,10,8823.3,Recharge,Airtel,user8814@okicici,airtel@okaxis,Success,True,GPay UPI
GP0000081,2024-10-12,07:17:08,7,Saturday,October,10,1099.53,Healthcare,Practo,user4613@okicici,practo@okaxis,Success,False,GPay UPI
GP0000082,2024-05-31,00:24:42,0,Friday,May,5,536.08,Entertainment,BookMyShow,user7624@okicici,bookmyshow@okaxis,Success,False,GPay UPI
GP0000083,2024-07-26,10:23:35,10,Friday,July,7,9810.08,Education,Coursera,user7455@okicici,coursera@okaxis,Success,False,GPay UPI
GP0000084,2024-02-22,16:48:39,16,Thursday,February,2,981.99,Food & Dining,Zomato,user3977@okicici,zomato@okaxis,Success,False,GPay UPI
GP0000085,2024-05-06,22:25:25,22,Monday,May,5,462.74,Healthcare,1mg,user7211@okicici,1mg@okaxis,Success,False,GPay UPI
GP0000086,2024-07-01,15:34:38,15,Monday,July,7,1678.08,Healthcare,1mg,user9837@okicici,1mg@okaxis,Success,False,GPay UPI
GP0000087,2024-10-30,09:37:11,9,Wednesday,October,10,1985.42,Groceries,Blinkit,user1659@okicici,blinkit@okaxis,Failed,False,GPay UPI
GP0000088,2024-08-29,07:16:05,7,Thursday,August,8,674.6,Transport,Uber,user3068@okicici,uber@okaxis,Success,False,GPay UPI
GP0000089,2024-06-29,14:25:51,14,Saturday,June,6,14226.8,Shopping,Ajio,user7043@okicici,ajio@okaxis,Success,False,GPay UPI
GP0000090,2024-03-04,14:24:28,14,Monday,March,3,781.24,Recharge,Airtel,user2771@okicici,airtel@okaxis,Pending,False,GPay UPI
GP0000091,2024-05-25,18:06:51,18,Saturday,May,5,708.61,Entertainment,Zee5,user4249@okicici,zee5@okaxis,Success,False,GPay UPI
GP0000092,2024-04-27,02:57:15,2,Saturday,April,4,563.81,Transport,Ola,user2983@okicici,ola@okaxis,Success,False,GPay UPI
GP0000093,2024-06-15,08:46:20,8,Saturday,June,6,359.26,Recharge,Airtel,user2129@okicici,airtel@okaxis,Success,False,GPay UPI
GP0000094,2024-11-15,08:40:46,8,Friday,November,11,2563.77,Groceries,BigBasket,user8102@okicici,bigbasket@okaxis,Success,False,GPay UPI
GP0000095,2024-10-11,23:28:04,23,Friday,October,10,4466.77,Education,Coursera,user5425@okicici,coursera@okaxis,Success,False,GPay UPI
GP0000096,2024-11-16,16:24:15,16,Saturday,November,11,23511.25,Bank Transfer,EMI Payment,user5397@okicici,emi.payment@okaxis,Success,False,GPay UPI
GP0000097,2024-06-24,01:46:45,1,Monday,June,6,237.56,Transport,Ola,user8613@okicici,ola@okaxis,Success,False,GPay UPI
GP0000098,2024-11-26,11:27:19,11,Tuesday,November,11,105.96,Healthcare,1mg,user8988@okicici,1mg@okaxis,Success,False,GPay UPI
GP0000099,2024-08-19,12:34:02,12,Monday,August,8,350.69,Entertainment,Spotify,user5526@okicici,spotify@okaxis,Success,False,GPay UPI
GP0000100,2024-10-06,15:34:56,15,Sunday,October,10,4737.84,Bank Transfer,Family Transfer,user4937@okicici,family.transfer@okaxis,Success,False,GPay UPI
GP0000101,2024-02-06,03:19:12,3,Tuesday,February,2,7969.74,Education,Unacademy,user7625@okicici,unacademy@okaxis,Success,False,GPay UPI
GP0000102,2024-07-02,19:06:26,19,Tuesday,July,7,622.4,Entertainment,Amazon Prime,user6632@okicici,amazon.prime@okaxis,Success,False,GPay UPI
GP0000103,2024-06-25,05:12:44,5,Tuesday,June,6,17914.62,Bank Transfer,Friend Transfer,user5118@okicici,friend.transfer@okaxis,Success,False,GPay UPI
GP0000104,2024-07-27,02:36:50,2,Saturday,July,7,113.25,Transport,Rapido,user4033@okicici,rapido@okaxis,Failed,False,GPay UPI
GP0000105,2024-10-22,05:39:04,5,Tuesday,October,10,7299.93,Education,BYJU'S,user5636@okicici,byju's@okaxis,Success,False,GPay UPI
GP0000106,2024-03-10,16:30:59,16,Sunday,March,3,197.44,Transport,Rapido,user9751@okicici,rapido@okaxis,Success,False,GPay UPI
GP0000107,2024-09-27,20:24:04,20,Friday,September,9,852.37,Food & Dining,Zomato,user9042@okicici,zomato@okaxis,Failed,False,GPay UPI
GP0000108,2024-07-04,21:56:23,21,Thursday,July,7,462.29,Food & Dining,Starbucks,user4020@okicici,starbucks@okaxis,Success,False,GPay UPI
GP0000109,2024-01-26,09:02:41,9,Friday,January,1,201.68,Entertainment,BookMyShow,user2213@okicici,bookmyshow@okaxis,Success,False,GPay UPI
GP0000110,2024-08-06,14:02:42,14,Tuesday,August,8,266.34,Food & Dining,Swiggy,user2395@okicici,swiggy@okaxis,Failed,False,GPay UPI
GP0000111,2024-08-23,11:17:24,11,Friday,August,8,11513.76,Shopping,Ajio,user4697@okicici,ajio@okaxis,Success,False,GPay UPI
GP0000112,2024-04-25,11:31:55,11,Thursday,April,4,1821.58,Healthcare,Practo,user8025@okicici,practo@okaxis,Success,False,GPay UPI
GP0000113,2024-10-14,10:07:56,10,Monday,October,10,616.44,Recharge,Airtel,user4404@okicici,airtel@okaxis,Success,False,GPay UPI
GP0000114,2024-04-03,03:42:19,3,Wednesday,April,4,172.07,Entertainment,Amazon Prime,user2229@okicici,amazon.prime@okaxis,Success,False,GPay UPI
GP0000115,2024-07-01,11:54:06,11,Monday,July,7,1394.27,Healthcare,Practo,user4792@okicici,practo@okaxis,Success,False,GPay UPI
GP0000116,2024-01-28,15:26:36,15,Sunday,January,1,872.65,Entertainment,Amazon Prime,user5334@okicici,amazon.prime@okaxis,Success,False,GPay UPI
GP0000117,2024-07-30,11:41:21,11,Tuesday,July,7,435.64,Recharge,Jio,user3441@okicici,jio@okaxis,Success,False,GPay UPI
GP0000118,2024-11-03,19:50:01,19,Sunday,November,11,392.23,Utilities,Electricity Board,user5728@okicici,electricity.board@okaxis,Success,False,GPay UPI
GP0000119,2024-04-15,17:31:06,17,Monday,April,4,7056.39,Education,BYJU'S,user9090@okicici,byju's@okaxis,Success,False,GPay UPI
GP0000120,2024-10-12,06:21:08,6,Saturday,October,10,7511.45,Recharge,Airtel,user5102@okicici,airtel@okaxis,Success,True,GPay UPI
GP0000121,2024-09-18,02:07:06,2,Wednesday,September,9,998.58,Recharge,Airtel,user1659@okicici,airtel@okaxis,Success,False,GPay UPI
GP0000122,2024-06-20,17:52:36,17,Thursday,June,6,2642.92,Utilities,DTH Recharge,user3973@okicici,dth.recharge@okaxis,Failed,False,GPay UPI
GP0000123,2024-07-01,12:48:51,12,Monday,July,7,1939.66,Healthcare,Practo,user6460@okicici,practo@okaxis,Success,False,GPay UPI
GP0000124,2024-09-26,09:30:26,9,Thursday,September,9,5081.09,Shopping,Flipkart,user7561@okicici,flipkart@okaxis,Success,False,GPay UPI
GP0000125,2024-05-02,03:30:44,3,Thursday,May,5,23013.88,Bank Transfer,Personal Transfer,user2899@okicici,personal.transfer@okaxis,Success,False,GPay UPI
GP0000126,2024-01-01,10:43:43,10,Monday,January,1,1658.61,Healthcare,PharmEasy,user9889@okicici,pharmeasy@okaxis,Success,False,GPay UPI
GP0000127,2024-08-29,19:22:05,19,Thursday,August,8,801.74,Food & Dining,Swiggy,user8242@okicici,swiggy@okaxis,Success,False,GPay UPI
GP0000128,2024-12-26,06:32:12,6,Thursday,December,12,448.39,Transport,Rapido,user8941@okicici,rapido@okaxis,Success,False,GPay UPI
GP0000129,2024-04-30,16:24:04,16,Tuesday,April,4,714.59,Recharge,Jio,user7684@okicici,jio@okaxis,Success,False,GPay UPI
GP0000130,2024-09-08,13:05:30,13,Sunday,September,9,14216.5,Shopping,Meesho,user9165@okicici,meesho@okaxis,Success,False,GPay UPI
GP0000131,2024-06-10,08:39:02,8,Monday,June,6,733.87,Entertainment,Zee5,user8736@okicici,zee5@okaxis,Success,False,GPay UPI
GP0000132,2024-12-24,00:26:02,0,Tuesday,December,12,19487.51,Bank Transfer,Family Transfer,user3236@okicici,family.transfer@okaxis,Success,False,GPay UPI
GP0000133,2024-11-01,22:03:30,22,Friday,November,11,404.89,Entertainment,BookMyShow,user1042@okicici,bookmyshow@okaxis,Success,False,GPay UPI
GP0000134,2024-09-13,07:05:37,7,Friday,September,9,620.93,Entertainment,Zee5,user3434@okicici,zee5@okaxis,Success,False,GPay UPI
GP0000135,2024-10-23,06:29:19,6,Wednesday,October,10,3456.91,Education,BYJU'S,user8460@okicici,byju's@okaxis,Success,False,GPay UPI
GP0000136,2024-05-28,17:32:49,17,Tuesday,May,5,206.27,Transport,RedBus,user7730@okicici,redbus@okaxis,Success,False,GPay UPI
GP0000137,2024-09-14,18:01:41,18,Saturday,September,9,3982.57,Education,Unacademy,user3492@okicici,unacademy@okaxis,Success,False,GPay UPI
GP0000138,2024-08-17,04:52:49,4,Saturday,August,8,778.32,Food & Dining,Swiggy,user2644@okicici,swiggy@okaxis,Success,False,GPay UPI
GP0000139,2024-06-26,10:52:42,10,Wednesday,June,6,5353.32,Education,Udemy,user3361@okicici,udemy@okaxis,Success,False,GPay UPI
GP0000140,2024-04-12,22:11:28,22,Friday,April,4,2400.5,Utilities,Electricity Board,user7512@okicici,electricity.board@okaxis,Success,False,GPay UPI
GP0000141,2024-05-27,13:56:39,13,Monday,May,5,2592.09,Groceries,Swiggy Instamart,user8994@okicici,swiggy.instamart@okaxis,Failed,False,GPay UPI
GP0000142,2024-09-02,02:50:49,2,Monday,September,9,149.21,Food & Dining,Starbucks,user5708@okicici,starbucks@okaxis,Success,False,GPay UPI
GP0000143,2024-10-22,07:09:33,7,Tuesday,October,10,14679.4,Shopping,Meesho,user2646@okicici,meesho@okaxis,Success,False,GPay UPI
GP0000144,2024-11-05,04:35:41,4,Tuesday,November,11,140.39,Entertainment,Netflix,user6873@okicici,netflix@okaxis,Success,False,GPay UPI
GP0000145,2024-08-07,18:49:54,18,Wednesday,August,8,2702.71,Utilities,Gas Agency,user3950@okicici,gas.agency@okaxis,Success,False,GPay UPI
GP0000146,2024-08-28,16:07:09,16,Wednesday,August,8,13088.43,Shopping,Ajio,user9153@okicici,ajio@okaxis,Success,False,GPay UPI
GP0000147,2024-04-08,15:14:25,15,Monday,April,4,2359.63,Utilities,Gas Agency,user1153@okicici,gas.agency@okaxis,Success,False,GPay UPI
GP0000148,2024-03-02,08:26:22,8,Saturday,March,3,6839.59,Education,BYJU'S,user6661@okicici,byju's@okaxis,Success,False,GPay UPI
GP0000149,2024-09-25,02:11:17,2,Wednesday,September,9,964.83,Entertainment,Amazon Prime,user5949@okicici,amazon.prime@okaxis,Success,False,GPay UPI
GP0000150,2024-05-28,02:34:22,2,Tuesday,May,5,257.97,Healthcare,Practo,user5847@okicici,practo@okaxis,Success,False,GPay UPI
GP0000151,2024-09-12,15:08:47,15,Thursday,September,9,979.15,Entertainment,Netflix,user1132@okicici,netflix@okaxis,Success,False,GPay UPI
GP0000152,2024-11-19,10:37:16,10,Tuesday,November,11,1130.5,Food & Dining,Starbucks,user5689@okicici,starbucks@okaxis,Failed,False,GPay UPI
GP0000153,2024-03-26,01:16:12,1,Tuesday,March,3,645.51,Transport,IRCTC,user5106@okicici,irctc@okaxis,Success,False,GPay UPI
GP0000154,2024-09-08,00:19:52,0,Sunday,September,9,4526.68,Utilities,Electricity Board,user8222@okicici,electricity.board@okaxis,Success,False,GPay UPI
GP0000155,2024-12-19,06:20:44,6,Thursday,December,12,481.09,Groceries,Swiggy Instamart,user7807@okicici,swiggy.instamart@okaxis,Success,False,GPay UPI
GP0000156,2024-05-22,02:02:21,2,Wednesday,May,5,4394.66,Utilities,Broadband,user5465@okicici,broadband@okaxis,Success,False,GPay UPI
GP0000157,2024-04-24,14:55:03,14,Wednesday,April,4,969.65,Entertainment,BookMyShow,user6549@okicici,bookmyshow@okaxis,Success,False,GPay UPI
GP0000158,2024-03-28,14:52:52,14,Thursday,March,3,1578.42,Education,Udemy,user7511@okicici,udemy@okaxis,Success,False,GPay UPI
GP0000159,2024-06-02,05:42:05,5,Sunday,June,6,4969.99,Bank Transfer,Friend Transfer,user9791@okicici,friend.transfer@okaxis,Success,False,GPay UPI
GP0000160,2024-04-11,19:31:17,19,Thursday,April,4,2272.13,Groceries,Swiggy Instamart,user7086@okicici,swiggy.instamart@okaxis,Success,False,GPay UPI
GP0000161,2024-12-09,09:39:57,9,Monday,December,12,39.52,Transport,Metro Card,user6374@okicici,metro.card@okaxis,Failed,False,GPay UPI
GP0000162,2024-11-15,22:53:18,22,Friday,November,11,69.31,Transport,RedBus,user5951@okicici,redbus@okaxis,Success,False,GPay UPI
GP0000163,2024-01-15,10:50:31,10,Monday,January,1,871.13,Shopping,Flipkart,user9071@okicici,flipkart@okaxis,Success,False,GPay UPI
GP0000164,2024-06-25,04:15:58,4,Tuesday,June,6,125.82,Transport,IRCTC,user9850@okicici,irctc@okaxis,Success,False,GPay UPI
GP0000165,2024-11-19,18:34:57,18,Tuesday,November,11,3309.12,Utilities,DTH Recharge,user7686@okicici,dth.recharge@okaxis,Success,False,GPay UPI
GP0000166,2024-03-25,09:06:00,9,Monday,March,3,720.25,Entertainment,Netflix,user4868@okicici,netflix@okaxis,Success,False,GPay UPI
GP0000167,2024-12-16,04:25:04,4,Monday,December,12,5636.56,Shopping,Nykaa,user6876@okicici,nykaa@okaxis,Pending,False,GPay UPI
GP0000168,2024-11-25,08:14:31,8,Monday,November,11,970.39,Entertainment,Hotstar,user2501@okicici,hotstar@okaxis,Success,False,GPay UPI
GP0000169,2024-05-09,12:31:50,12,Thursday,May,5,68.57,Recharge,Airtel,user3063@okicici,airtel@okaxis,Success,False,GPay UPI
GP0000170,2024-08-03,05:35:27,5,Saturday,August,8,667.26,Transport,Ola,user4538@okicici,ola@okaxis,Success,False,GPay UPI
GP0000171,2024-11-02,06:41:33,6,Saturday,November,11,624.01,Transport,Rapido,user1046@okicici,rapido@okaxis,Failed,False,GPay UPI
GP0000172,2024-11-06,02:41:17,2,Wednesday,November,11,2747.06,Utilities,Gas Agency,user1422@okicici,gas.agency@okaxis,Success,False,GPay UPI
GP0000173,2024-01-07,03:05:25,3,Sunday,January,1,1807.67,Groceries,Blinkit,user1858@okicici,blinkit@okaxis,Success,False,GPay UPI
GP0000174,2024-01-25,16:24:13,16,Thursday,January,1,271.62,Healthcare,PharmEasy,user6931@okicici,pharmeasy@okaxis,Success,False,GPay UPI
GP0000175,2024-08-26,21:12:40,21,Monday,August,8,7656.81,Shopping,Meesho,user9543@okicici,meesho@okaxis,Success,False,GPay UPI
GP0000176,2024-11-25,01:23:41,1,Monday,November,11,1497.95,Food & Dining,Zomato,user2768@okicici,zomato@okaxis,Success,False,GPay UPI
GP0000177,2024-05-05,02:17:59,2,Sunday,May,5,9011.81,Education,Udemy,user2076@okicici,udemy@okaxis,Success,False,GPay UPI
GP0000178,2024-08-20,00:05:44,0,Tuesday,August,8,392.29,Recharge,Vi,user8433@okicici,vi@okaxis,Success,False,GPay UPI
GP0000179,2024-02-14,10:24:59,10,Wednesday,February,2,1596.54,Healthcare,Apollo Pharmacy,user4522@okicici,apollo.pharmacy@okaxis,Success,False,GPay UPI
GP0000180,2024-06-25,02:54:58,2,Tuesday,June,6,284.37,Transport,Metro Card,user2557@okicici,metro.card@okaxis,Success,False,GPay UPI
GP0000181,2024-02-29,06:41:52,6,Thursday,February,2,839.18,Groceries,Swiggy Instamart,user8770@okicici,swiggy.instamart@okaxis,Success,False,GPay UPI
GP0000182,2024-10-16,04:04:19,4,Wednesday,October,10,6591.77,Shopping,Amazon,user3131@okicici,amazon@okaxis,Success,False,GPay UPI
